Name,Retail Price,Wholesale Price,Quantity
ball cock 15mm jp m,200,140.0,70
Ball Cock 15mm JP Heavy,250,200.0,54
Ball Cock 15mm Rkey,400,330.0,44
Ball Cock 20mm JP,200,150.0,57
Ball Cock 20mm Rkey,450,380.0,20
ball cock 25mm r,350,280.0,14
Ball Valve 15mm Arina,220,180.0,20
Ball Valve 15mm Eco Flow,190,170.0,89
Ball Valve 20mm Arina,300,255.0,33
Ball Valve 20mm Eco Flow,270,237.0,24
Ball Valve 20mm Strana,120,95.0,102
Ball Valve 25mm Arina,400,375.0,0
Ball Valve 25mm Eco Flow,380,339.0,21
Ball Valve 32mm Rkey ,700,690.0,4
Bend For Mixer,150,100.0,108
Bondset Fast 1 Kg,240,220.0,5
Bottle Trap Stage,580,390.0,49
Bottle Trap Heavy,580,480.0,22
Bottle Trap Lite,480,410.0,8
Bottle Trap Pipe 12'',80,48.0,100
Bottle Trap Pipe 15'',90,60.0,37
Bottle Trap Pipe 18'',100,72.0,79
Cabinet Mirror,1450,1350.0,0
Chand Tara Set ,80,50.0,93
Chand Tara Set Double Hole,120,80.0,10
Check Valve 15mm Arina,120,105.0,156
Check Valve 15mm Matrix,200,170.0,0
Check Valve 20mm Arina ,180,153.0,78
Check Valve 20mm Matrix,300,267.0,18
Check Valve 20mm Vertical Novex,170,150.0,28
Check Valve 25mm Arina,280,222.0,45
Check Valve 25mm Matrix,400,372.0,47
Check Valve 32mm Matrix,700,700.0,19
Check Valve 32mm Vertical Rkey,750,650.0,21
Checknut For Pillar Cock,35,25.0,38
Clutch ,250,180.0,121
Cockroach Jali 5''  Square,180,130.0,1
Cockroach Jali 5'' Cut Round,150,110.0,33
Cockroach Jali 5'' Plain Round,150,110.0,81
Connecter 3/4 Ewc,150,80.0,97
Connecter 4/5,150,80.0,64
connection 12'',65,55.0,47
Connection 18'' Brass,80,65.0,99
Connection 18'' Leg,90,65.0,162
Connection 18'' Rkey,90,72.0,22
Connection 18'' Rkey Leg,90,85.0,57
Connection 18'' SS,70,52.0,189
Connection 24'' Brass,90,73.0,11
Connection 24'' Leg,100,68.0,289
Connection 24'' SS,70,60.0,152
Connection 24'' SS Rain Flow,80,60.0,1
Connection 30'' Brass,100,81.0,83
Connection 30'' SS,90,68.0,26
Connection 36'' Brass,110,89.0,11
Connection 36'' SS,100,76.0,7
Connection 48'' SS,120,100.0,57
Connection 72'' SS,160,132.0,13
Connector Half Set,150,80.0,59
Corner Acrylic 4mm,350,250.0,9
Corner Acrylic 6mm,480,410.0,6
Corner Glass 10'',190,170.0,1
Corner Glass 12'' ,200,180.0,23
Corner Glass 12'' Brass,520,425.0,3
Corner SS Heavy,400,300.0,95
Corner SS Lite,300,220.0,76
CP Elbow,120,90.0,14
CP Pluck Female,40,25.0,61
CP Pluck Male,40,25.0,136
CP Socket,80,60.0,20
CP Tee,150,100.0,22
Extension 1'' Brass Heavy,60,45.0,554
Extension 1'' SS,30,12.0,1923
Extension 1.5'' Brass,60,42.0,351
Extension 1.5'' Brass Heavy,80,60.0,375
Extension 1.5'' SS,40,17.0,1126
Extension 1''Brass,45,30.0,325
Extension 2'' Brass,75,57.0,7
Extension 2'' Brass Heavy,100,71.0,198
Extension 2'' SS,50,22.0,560
Extension 2.5'' Brass,90,71.0,8
Extension 2.5'' Brass Heavy,120,85.0,180
Extension 2.5'' SS,60,27.0,583
Extension 3'' Brass,105,85.0,165
Extension 3'' Brass Heavy,140,100.0,93
Extension 3'' SS,70,34.0,425
Extension 4'' SS,90,70.0,11
Extension 6'' SS,120,90.0,76
F.F  Jali Complete lite Male,20,10.0,160
F.F  Jali Complete lite Female,20,10.0,180
F.F Jail,10,4.0,280
F.F Jail 3/4'',15,8.0,88
F.F Jail Complete Heavy Male,30,20.0,718
F.F Jali Complete Heavy Female,30,20.0,155
Face 2 Way Rising,70,60.0,26
Face C/S/C 2'',90,70.0,1
Face C/S/C 2.75'',100,80.0,1
Face C/S/C 3'',100,80.0,38
Face Disc 22/1.5,100,65.0,136
Face Disc 3/4'',100,68.0,124
Face Disc C/S/C,100,60.0,149
Face Disc C/S/C 3/4,150,85.0,2
Face Disc Heavy,50,40.0,630
Face Disc Jeg. 3/4'',200,140.0,23
Face Disc Jeg. 3/4'' Full,250,180.0,5
Face Disc Jeg. C/S/C,300,200.0,2
Face Disc Jeq. 3/4'' Regular,200,140.0,22
Face Disc Medium,40,31.0,913
Face Disc New Jeg.,200,120.0,25
Face Disc Perry,100,55.0,162
Face Disc Psg Heavy,65,50.0,84
